"set","n","result","instance","D","runtime"
"GBRL",100,83,"100_ep0.075_0_gilbert_6.in",3,314.457
"GBRL",100,75,"100_ep0.075_0_gilbert_6.in",4,185.1333
"GBRL",100,61,"100_ep0.075_0_gilbert_6.in",5,666.2378
"GBRL",100,2,"100_ep0.075_0_gilbert_6.in",6,0.3754
"GBRL",100,1,"100_ep0.075_0_gilbert_6.in",7,0.0713
"GBRL",100,1,"100_ep0.075_0_gilbert_6.in",8,0.0608
"GBRL",100,1,"100_ep0.075_0_gilbert_6.in",9,0.0624
"GBRL",100,1,"100_ep0.075_0_gilbert_6.in",10,0.0456
"GBRL",100,96,"100_ep0.1_0_gilbert_4.in",1,126.3558
"GBRL",100,91,"100_ep0.1_0_gilbert_4.in",2,85.5841
"GBRL",100,87,"100_ep0.1_0_gilbert_4.in",3,118.9798
"GBRL",100,82,"100_ep0.1_0_gilbert_4.in",4,97.9735
"GBRL",100,77,"100_ep0.1_0_gilbert_4.in",5,237.5237
"GBRL",100,72,"100_ep0.1_0_gilbert_4.in",6,395.8278
"GBRL",100,64,"100_ep0.1_0_gilbert_4.in",7,604.6778
"GBRL",100,46,"100_ep0.1_0_gilbert_4.in",8,384.8961
"GBRL",100,2,"100_ep0.1_0_gilbert_4.in",9,0.4125
"GBRL",100,1,"100_ep0.1_0_gilbert_4.in",10,0.0751
"GBRL",100,94,"100_ep0.075_0_gilbert_9.in",1,285.8023
"GBRL",100,88,"100_ep0.075_0_gilbert_9.in",2,959.1951
"GBRL",100,2,"100_ep0.075_0_gilbert_9.in",3,0.7054
"GBRL",100,1,"100_ep0.075_0_gilbert_9.in",4,0.1237
"GBRL",100,1,"100_ep0.075_0_gilbert_9.in",5,0.0993
"GBRL",100,1,"100_ep0.075_0_gilbert_9.in",6,0.0817
"GBRL",100,1,"100_ep0.075_0_gilbert_9.in",7,0.0768
"GBRL",100,1,"100_ep0.075_0_gilbert_9.in",8,0.0688
"GBRL",100,1,"100_ep0.075_0_gilbert_9.in",9,0.0698
"GBRL",100,1,"100_ep0.075_0_gilbert_9.in",10,0.0502
"GBRL",100,96,"100_ep0.1_0_gilbert_10.in",1,709.7788
"GBRL",100,89,"100_ep0.1_0_gilbert_10.in",2,618.3228
"GBRL",100,1,"100_ep0.1_0_gilbert_10.in",3,0.2666
"GBRL",100,1,"100_ep0.1_0_gilbert_10.in",4,0.283
"GBRL",100,1,"100_ep0.1_0_gilbert_10.in",5,0.2459
"GBRL",100,1,"100_ep0.1_0_gilbert_10.in",6,0.2028
"GBRL",100,1,"100_ep0.1_0_gilbert_10.in",7,0.1417
"GBRL",100,1,"100_ep0.1_0_gilbert_10.in",8,0.1503
"GBRL",100,1,"100_ep0.1_0_gilbert_10.in",9,0.1264
"GBRL",100,1,"100_ep0.1_0_gilbert_10.in",10,0.0878
"GBRL",100,95,"100_ep0.075_0_gilbert_4.in",1,161.9867
"GBRL",100,89,"100_ep0.075_0_gilbert_4.in",2,236.2484
"GBRL",100,83,"100_ep0.075_0_gilbert_4.in",3,510.1779
"GBRL",100,75,"100_ep0.075_0_gilbert_4.in",4,210.0809
"GBRL",100,64,"100_ep0.075_0_gilbert_4.in",5,508.4314
"GBRL",100,5,"100_ep0.075_0_gilbert_4.in",6,1.8361
"GBRL",100,2,"100_ep0.075_0_gilbert_4.in",7,0.2563
"GBRL",100,1,"100_ep0.075_0_gilbert_4.in",8,0.058
"GBRL",100,1,"100_ep0.075_0_gilbert_4.in",9,0.117
"GBRL",100,1,"100_ep0.075_0_gilbert_4.in",10,0.0854
"GBRL",100,97,"100_ep0.125_0_gilbert_2.in",1,28.9181
"GBRL",100,93,"100_ep0.125_0_gilbert_2.in",2,46.1876
"GBRL",100,90,"100_ep0.125_0_gilbert_2.in",3,270.6299
"GBRL",100,87,"100_ep0.125_0_gilbert_2.in",4,233.1873
"GBRL",100,83,"100_ep0.125_0_gilbert_2.in",5,211.2509
"GBRL",100,79,"100_ep0.125_0_gilbert_2.in",6,479.1726
"GBRL",100,76,"100_ep0.125_0_gilbert_2.in",7,360.2069
"GBRL",100,72,"100_ep0.125_0_gilbert_2.in",8,325.9273
"GBRL",100,67,"100_ep0.125_0_gilbert_2.in",9,263.5665
"GBRL",100,61,"100_ep0.125_0_gilbert_2.in",10,221.4027
"GBRL",100,97,"100_ep0.125_0_gilbert_5.in",1,37.9632
"GBRL",100,94,"100_ep0.125_0_gilbert_5.in",2,145.1784
"GBRL",100,90,"100_ep0.125_0_gilbert_5.in",3,135.0922
"GBRL",100,87,"100_ep0.125_0_gilbert_5.in",4,240.7237
"GBRL",100,83,"100_ep0.125_0_gilbert_5.in",5,220.5705
"GBRL",100,79,"100_ep0.125_0_gilbert_5.in",6,396.6555
"GBRL",100,76,"100_ep0.125_0_gilbert_5.in",7,377.514
"GBRL",100,72,"100_ep0.125_0_gilbert_5.in",8,345.1378
"GBRL",100,68,"100_ep0.125_0_gilbert_5.in",9,336.7504
"GBRL",100,63,"100_ep0.125_0_gilbert_5.in",10,395.3893
"GBRL",100,97,"100_ep0.125_0_gilbert_4.in",1,71.9173
"GBRL",100,94,"100_ep0.125_0_gilbert_4.in",2,215.3916
"GBRL",100,90,"100_ep0.125_0_gilbert_4.in",3,411.5608
"GBRL",100,86,"100_ep0.125_0_gilbert_4.in",4,275.7149
