"set","n","result","instance","D","runtime"
"BBGRL",100,82,"100_ep0.1_0_gilbert_4.in",4,98.5426
"BBGRL",100,77,"100_ep0.1_0_gilbert_4.in",5,246.1065
"BBGRL",100,72,"100_ep0.1_0_gilbert_4.in",6,404.4687
"BBGRL",100,64,"100_ep0.1_0_gilbert_4.in",7,604.5354
"BBGRL",100,46,"100_ep0.1_0_gilbert_4.in",8,385.7166
"BBGRL",100,2,"100_ep0.1_0_gilbert_4.in",9,0.2739
"BBGRL",100,1,"100_ep0.1_0_gilbert_4.in",10,0.0561
"BBGRL",100,94,"100_ep0.075_0_gilbert_9.in",1,280.3199
"BBGRL",100,88,"100_ep0.075_0_gilbert_9.in",2,952.2405
"BBGRL",100,2,"100_ep0.075_0_gilbert_9.in",3,0.6945
"BBGRL",100,1,"100_ep0.075_0_gilbert_9.in",4,0.1239
"BBGRL",100,1,"100_ep0.075_0_gilbert_9.in",5,0.0982
"BBGRL",100,1,"100_ep0.075_0_gilbert_9.in",6,0.0866
"BBGRL",100,1,"100_ep0.075_0_gilbert_9.in",7,0.077
"BBGRL",100,1,"100_ep0.075_0_gilbert_9.in",8,0.0654
"BBGRL",100,1,"100_ep0.075_0_gilbert_9.in",9,0.0616
"BBGRL",100,1,"100_ep0.075_0_gilbert_9.in",10,0.0449
"BBGRL",100,96,"100_ep0.1_0_gilbert_10.in",1,711.6271
"BBGRL",100,89,"100_ep0.1_0_gilbert_10.in",2,616.9432
"BBGRL",100,1,"100_ep0.1_0_gilbert_10.in",3,0.4619
"BBGRL",100,1,"100_ep0.1_0_gilbert_10.in",4,0.1982
"BBGRL",100,1,"100_ep0.1_0_gilbert_10.in",5,0.1227
"BBGRL",100,1,"100_ep0.1_0_gilbert_10.in",6,0.203
"BBGRL",100,1,"100_ep0.1_0_gilbert_10.in",7,0.1411
"BBGRL",100,1,"100_ep0.1_0_gilbert_10.in",8,0.0761
"BBGRL",100,1,"100_ep0.1_0_gilbert_10.in",9,0.0771
"BBGRL",100,1,"100_ep0.1_0_gilbert_10.in",10,0.0552
"BBGRL",100,95,"100_ep0.075_0_gilbert_4.in",1,164.0506
