"set","n","result","instance","D","runtime","seed"
"GBRL",1000,1,"1000_r0.05_0_geom_2.gin",7,6.9059,1504989394977269248
"GBRL",1000,1,"1000_r0.05_0_geom_2.gin",8,7.1296,1504989404012263680
"GBRL",1000,1,"1000_r0.05_0_geom_2.gin",9,6.1556,1504989413387367936
"GBRL",1000,1,"1000_r0.05_0_geom_2.gin",10,6.3797,1504989421580506880
"GBRL",1000,936,"1000_r0.065_0_geom_9.gin",1,188.1528,1504989429999539200
"GBRL",1000,949,"1000_r0.065_0_geom_9.gin",2,359.2264,1.504989619983e+18
"GBRL",1000,882,"1000_r0.065_0_geom_9.gin",3,358.9775,1504989981063294720
"GBRL",1000,910,"1000_r0.065_0_geom_9.gin",4,359.0213,1504990341879547136
"GBRL",1000,6,"1000_r0.065_0_geom_9.gin",5,75.3906,1504990702942795776
"GBRL",1000,1,"1000_r0.065_0_geom_9.gin",6,8.0019,1504990780370212864
"GBRL",1000,1,"1000_r0.065_0_geom_9.gin",7,7.7516,1504990790415222784
"GBRL",1000,1,"1000_r0.065_0_geom_9.gin",8,7.0314,1504990800421301248
"GBRL",1000,1,"1000_r0.065_0_geom_9.gin",9,7.2652,1504990809325591808
"GBRL",1000,1,"1000_r0.065_0_geom_9.gin",10,7.479,1504990818440035584
"GBRL",1000,878,"1000_r0.058_0_geom_6.gin",1,359.5593,1504990827942845184
"GBRL",1000,912,"1000_r0.058_0_geom_6.gin",2,360.9341,1504991189297015040
"GBRL",1000,812,"1000_r0.058_0_geom_6.gin",3,358.9737,1504991552271110144
"GBRL",1000,818,"1000_r0.058_0_geom_6.gin",4,360.9333,1504991913039137792
"GBRL",1000,9,"1000_r0.058_0_geom_6.gin",5,74.9053,1504992275813400320
"GBRL",1000,6,"1000_r0.058_0_geom_6.gin",6,66.1224,1504992352589093120
"GBRL",1000,5,"1000_r0.058_0_geom_6.gin",7,49.3185,1504992420594356736
"GBRL",1000,4,"1000_r0.058_0_geom_6.gin",8,22.7393,1504992472040547584
"GBRL",1000,3,"1000_r0.058_0_geom_6.gin",9,9.9818,1504992496820871936
"GBRL",1000,2,"1000_r0.058_0_geom_6.gin",10,9.1396,1504992508820787712
"GBRL",1000,942,"1000_r0.065_0_geom_5.gin",1,181.042,1504992520002103552
"GBRL",1000,855,"1000_r0.065_0_geom_5.gin",2,359.0936,1504992702864422656
"GBRL",1000,878,"1000_r0.065_0_geom_5.gin",3,359.1345,1504993063854359296
"GBRL",1000,896,"1000_r0.065_0_geom_5.gin",4,359.5102,1504993425031120384
"GBRL",1000,871,"1000_r0.065_0_geom_5.gin",5,359.5321,1504993786412700416
"GBRL",1000,5,"1000_r0.065_0_geom_5.gin",6,71.4118,1504994147864251904
"GBRL",1000,4,"1000_r0.065_0_geom_5.gin",7,62.2588,1504994221063779840
"GBRL",1000,3,"1000_r0.065_0_geom_5.gin",8,38.7264,1504994285359633920
"GBRL",1000,2,"1000_r0.065_0_geom_5.gin",9,11.1712,1504994325873506560
"GBRL",1000,1,"1000_r0.065_0_geom_5.gin",10,7.9531,1504994338834957056
"GBRL",1000,932,"1000_r0.065_0_geom_7.gin",1,359.3195,1504994348826223616
