"set","n","result","instance","D","runtime","seed"
"GEN-ER",150,133,"150_ep0.1_degree_erdos_4.in",4,74.1502,1512122585609070592
"GEN-ER",150,129,"150_ep0.1_degree_erdos_4.in",5,130.9527,1512122659780656640
"GEN-ER",150,124,"150_ep0.1_degree_erdos_4.in",6,186.3045,1512122790753176064
"GEN-ER",150,119,"150_ep0.1_degree_erdos_4.in",7,490.6058,1.512122977078e+18
"GEN-ER",150,114,"150_ep0.1_degree_erdos_4.in",8,600.0705,1512123467705940992
"GEN-ER",150,109,"150_ep0.1_degree_erdos_4.in",9,600.069,1512124067793035776
"GEN-ER",150,103,"150_ep0.1_degree_erdos_4.in",10,600.1064,1512124667878500608
"GEN-ER",150,146,"150_ep0.1_degree_erdos_3.in",1,5.0601,1512125268005334528
"GEN-ER",150,143,"150_ep0.1_degree_erdos_3.in",2,10.9735,1512125273088349184
"GEN-ER",150,139,"150_ep0.1_degree_erdos_3.in",3,41.6569,1512125284084629248
"GEN-ER",150,135,"150_ep0.1_degree_erdos_3.in",4,190.3527,1512125325761399808
"GEN-ER",150,131,"150_ep0.1_degree_erdos_3.in",5,251.4885,1512125516134167552
"GEN-ER",150,127,"150_ep0.1_degree_erdos_3.in",6,483.7238,1512125767643223808
"GEN-ER",150,122,"150_ep0.1_degree_erdos_3.in",7,528.0707,1512126251386503680
"GEN-ER",150,117,"150_ep0.1_degree_erdos_3.in",8,600.081,1512126779476526848
"GEN-ER",150,112,"150_ep0.1_degree_erdos_3.in",9,600.075,1512127379573599488
"GEN-ER",150,105,"150_ep0.1_degree_erdos_3.in",10,600.1063,1512127979665497856
"GEN-ER",150,147,"150_ep0.125_degree_erdos_8.in",1,4.3747,1512128579789564416
"GEN-ER",150,143,"150_ep0.125_degree_erdos_8.in",2,6.9472,1512128584180812032
"GEN-ER",150,140,"150_ep0.125_degree_erdos_8.in",3,45.2413,1512128591144618240
"GEN-ER",150,136,"150_ep0.125_degree_erdos_8.in",4,219.3436,1512128636406297344
"GEN-ER",150,133,"150_ep0.125_degree_erdos_8.in",5,376.5497,1512128855766791168
