"set","n","result","instance","D","runtime","seed"
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_1.in",8,8.1129,1503699355088700160
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_1.in",9,7.7396,1503699365044791040
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_1.in",10,7.6565,1503699374821236480
"BBGRL",1000,992,"1000_ep0.0075_0_gilbert_10.in",1,68.0644,1503699384576566528
"BBGRL",1000,983,"1000_ep0.0075_0_gilbert_10.in",2,167.1129,1503699454690249216
"BBGRL",1000,977,"1000_ep0.0075_0_gilbert_10.in",3,167.7194,1503699623586138368
"BBGRL",1000,967,"1000_ep0.0075_0_gilbert_10.in",4,167.61,1503699793095836160
"BBGRL",1000,956,"1000_ep0.0075_0_gilbert_10.in",5,167.2391,1503699962498104320
"BBGRL",1000,2,"1000_ep0.0075_0_gilbert_10.in",6,40.6413,1503700131585804032
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_10.in",7,9.1308,1503700174076283904
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_10.in",8,8.9631,1503700185139659264
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_10.in",9,8.4766,1503700196079148800
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_10.in",10,8.8767,1503700206363104256
"BBGRL",1000,992,"1000_ep0.0075_0_gilbert_3.in",1,56.4105,1503700217103453696
"BBGRL",1000,983,"1000_ep0.0075_0_gilbert_3.in",2,167.4075,1503700275340604160
"BBGRL",1000,975,"1000_ep0.0075_0_gilbert_3.in",3,167.2904,1503700444565285632
"BBGRL",1000,965,"1000_ep0.0075_0_gilbert_3.in",4,167.224,1503700613643679744
"BBGRL",1000,960,"1000_ep0.0075_0_gilbert_3.in",5,168.1452,1503700782692334592
"BBGRL",1000,6,"1000_ep0.0075_0_gilbert_3.in",6,70.5398,1503700952617985536
"BBGRL",1000,3,"1000_ep0.0075_0_gilbert_3.in",7,47.7577,1503701024939161344
"BBGRL",1000,2,"1000_ep0.0075_0_gilbert_3.in",8,11.8404,1503701074499470592
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_3.in",9,8.4303,1503701088374191616
"BBGRL",1000,1,"1000_ep0.0075_0_gilbert_3.in",10,8.4756,1503701098990909696
"BBGRL",1000,994,"1000_ep0.01_0_gilbert_1.in",1,59.5845,1503701109573539072
"BBGRL",1000,987,"1000_ep0.01_0_gilbert_1.in",2,68.7983,1503701171220409600
"BBGRL",1000,982,"1000_ep0.01_0_gilbert_1.in",3,167.4143,1503701242074295296
"BBGRL",1000,976,"1000_ep0.01_0_gilbert_1.in",4,167.1377,1503701411533345024
"BBGRL",1000,969,"1000_ep0.01_0_gilbert_1.in",5,167.1632,1503701580586966272
"BBGRL",1000,964,"1000_ep0.01_0_gilbert_1.in",6,167.1673,1503701749589542656
"BBGRL",1000,957,"1000_ep0.01_0_gilbert_1.in",7,167.212,1503701918621772288
"BBGRL",1000,953,"1000_ep0.01_0_gilbert_1.in",8,169.063,1503702087872774144
"BBGRL",1000,947,"1000_ep0.01_0_gilbert_1.in",9,167.2395,1503702258973590016
"BBGRL",1000,937,"1000_ep0.01_0_gilbert_1.in",10,167.2966,1503702428060290304
"BBGRL",1000,994,"1000_ep0.0125_0_gilbert_10.in",1,65.8745,1503702597389511424
"BBGRL",1000,988,"1000_ep0.0125_0_gilbert_10.in",2,167.4302,1503702665377446656
"BBGRL",1000,981,"1000_ep0.0125_0_gilbert_10.in",3,167.3239,1503702834589969152
"BBGRL",1000,1,"1000_ep0.0125_0_gilbert_10.in",4,11.0912,1503703003948173568
"BBGRL",1000,1,"1000_ep0.0125_0_gilbert_10.in",5,10.1678,1503703017083244288
"BBGRL",1000,1,"1000_ep0.0125_0_gilbert_10.in",6,10.4242,1503703029286451712
"BBGRL",1000,1,"1000_ep0.0125_0_gilbert_10.in",7,10.5389,1503703041559343104
"BBGRL",1000,1,"1000_ep0.0125_0_gilbert_10.in",8,10.4256,1503703054320940288
"BBGRL",1000,1,"1000_ep0.0125_0_gilbert_10.in",9,10.2625,1503703066781652480
